,crime,number,date,location,beat,neighborhood,npu,lat,long
14311,AGG ASSAULT,142772734,10/04/2014,381 BASS ST SW,303,Mechanicsville,V,33.73579,-84.4005
14312,LARCENY-NON VEHICLE,142772751,10/04/2014,1043 SPARKS ST SW,402,Oakland City,S,33.72776,-84.4218
14313,LARCENY-NON VEHICLE,142772763,10/04/2014,2841 GREENBRIAR PKWY,411,Greenbriar,R,33.68992,-84.48917
14314,LARCENY-NON VEHICLE,142772793,10/04/2014,1631 STATON ROAD,408,,R,33.71156,-84.4437
14315,BURGLARY-RESIDENCE,142772797,10/04/2014,232 ROSSER ST SW,104,Ashview Heights,T,33.74834,-84.42423
14316,LARCENY-FROM VEHICLE,142772868,10/04/2014,251 WALKER ST SW,507,Castleberry Hill,M,33.74784,-84.40304
14317,LARCENY-FROM VEHICLE,142772912,10/04/2014,123 MARIETTA ST NW,508,Downtown,M,33.75767,-84.39266
14318,LARCENY-FROM VEHICLE,142763221,10/04/2014,1953 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70279,-84.38454
14319,AUTO THEFT,142763310,10/03/2014,653 N HIGHLAND AVE NE,602,Poncey-Highland,N,33.7721,-84.3524
14320,LARCENY-FROM VEHICLE,142763342,10/03/2014,994 PIEDMONT AVE NE,503,Midtown,E,33.78178,-84.38047
14321,ROBBERY-PEDESTRIAN,142762899,10/03/2014,828 RALPH MCGILL BLVD NE,602,Poncey-Highland,N,33.76826,-84.36043
14322,LARCENY-NON VEHICLE,142762994,10/03/2014,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
14323,LARCENY-FROM VEHICLE,142763004,10/03/2014,1402 N HIGHLAND AVE NE,213,Morningside/Lenox Park,F,33.79282,-84.35257
14324,BURGLARY-RESIDENCE,142763167,10/03/2014,437 HOLDERNESS ST SW,401,West End,T,33.74318,-84.42739
14325,BURGLARY-RESIDENCE,142763217,10/03/2014,2400 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.82006,-84.36502
14326,LARCENY-NON VEHICLE,142753200,10/03/2014,375 18TH ST NW,501,Atlantic Station,E,33.79163,-84.40099
14327,LARCENY-FROM VEHICLE,142761178,10/03/2014,428 RICHARDS ST NW,501,Home Park,E,33.78352,-84.40107
14328,BURGLARY-RESIDENCE,142761198,10/03/2014,2520 JONESBORO RD SE,308,Leila Valley,Z,33.68463,-84.36481
14329,LARCENY-FROM VEHICLE,142761264,10/03/2014,880 W PEACHTREE ST NW,505,Midtown,E,33.77894,-84.38768
14330,LARCENY-FROM VEHICLE,142761275,10/03/2014,125 OTTLEY DR NE,212,,E,33.80647,-84.38331
14331,BURGLARY-RESIDENCE,142761276,10/03/2014,1360 FAIRVIEW RD NE,608,Druid Hills,N,33.77308,-84.34285
14332,LARCENY-NON VEHICLE,142761281,10/03/2014,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
14333,BURGLARY-RESIDENCE,142761320,10/03/2014,1946 CONRAD AVE SE,307,Lakewood Heights,Y,33.70098,-84.38132
14334,BURGLARY-RESIDENCE,142761326,10/03/2014,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805
14335,BURGLARY-NONRES,142761353,10/03/2014,360 PHARR RD NE,206,Buckhead Village,B,33.83752,-84.37574
14336,LARCENY-NON VEHICLE,142761354,10/03/2014,245 MEMORIAL DR SE,605,Oakland,W,33.74686,-84.37931
14337,AUTO THEFT,142761364,10/03/2014,223 POLAR ROCK RD SW,310,Polar Rock,Z,33.69576,-84.39619
14338,BURGLARY-RESIDENCE,142761389,10/03/2014,66 NEWCASTLE ST SW,104,Ashview Heights,T,33.753,-84.41847
14339,LARCENY-NON VEHICLE,142761396,10/03/2014,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
14340,LARCENY-NON VEHICLE,142761442,10/03/2014,2345 PEACHTREE RD NE,211,Peachtree Hills,B,33.81878,-84.38861
14341,LARCENY-FROM VEHICLE,142761485,10/03/2014,1034 WHITE OAK AVE SW,402,Oakland City,S,33.72446,-84.4219
14342,LARCENY-NON VEHICLE,142761495,10/03/2014,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
14343,LARCENY-NON VEHICLE,142761539,10/03/2014,3500 PEACHTREE RD NE ,208,North Buckhead,B,33.85302,-84.36278
14344,LARCENY-FROM VEHICLE,142761591,10/03/2014,1401 DESOTO AVE SW,301,Capitol View,X,33.71661,-84.41212
14345,BURGLARY-RESIDENCE,142761595,10/03/2014,600 GARSON DR NE,211,Lindbergh/Morosgo,B,33.81907,-84.37069
14346,AGG ASSAULT,142761617,10/03/2014,520 MURPHY AVE SW,303,Adair Park,V,33.74034,-84.41157
14347,AUTO THEFT,142761630,10/03/2014,791 WYLIE ST SE,606,Reynoldstown,N,33.75205,-84.36143
14348,LARCENY-FROM VEHICLE,142761638,10/03/2014,842 PEACHTREE ST NE,505,Midtown,E,33.77756,-84.38482
14349,LARCENY-FROM VEHICLE,142761640,10/03/2014,3060 PEACHTREE RD NW @CALL BOX 3,206,Peachtree Heights West,B,33.83953,-84.38123
14350,LARCENY-FROM VEHICLE,142761652,10/03/2014,2640 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70252,-84.47475
14351,LARCENY-NON VEHICLE,142761674,10/03/2014,3295 CASCADE RD SW,406,Magnum Manor,I,33.72164,-84.49628
14352,LARCENY-FROM VEHICLE,142761700,10/03/2014,868 WESTMONT RD SW,402,Oakland City,S,33.73179,-84.43728
14353,LARCENY-NON VEHICLE,142761748,10/03/2014,650 PONCE DE LEON AVE NE,506,Midtown,E,33.77352,-84.36667
14354,AUTO THEFT,142761774,10/03/2014,1311 WESTMONT RD SW,403,Venetian Hills,S,33.7196,-84.43787
14355,AUTO THEFT,142761806,10/03/2014,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
14356,LARCENY-NON VEHICLE,142761833,10/03/2014,1093 WEST AVE SW,302,Pittsburgh,V,33.72494,-84.39593
14357,LARCENY-FROM VEHICLE,142761883,10/03/2014,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051
14358,LARCENY-NON VEHICLE,142761887,10/03/2014,2050 SPRINGLAKE CT NW,205,Springlake,C,33.81027,-84.40978
14359,ROBBERY-PEDESTRIAN,142761952,10/03/2014,220 HUNNICUTT ST NW,504,Downtown,M,33.76654,-84.39506
14360,LARCENY-NON VEHICLE,142762000,10/03/2014,265 PEACHTREE ST NE @HYATT REGENCY HOTEL,509,Downtown,M,33.76152,-84.38672
14361,ROBBERY-RESIDENCE,142762013,10/03/2014,20 STANDISH AVE NW,207,Brookwood,E,33.79906,-84.39429
14362,AUTO THEFT,142762125,10/03/2014,3014 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.78223,-84.48696
14363,LARCENY-FROM VEHICLE,142762141,10/03/2014,433 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76128,-84.37323
14364,LARCENY-NON VEHICLE,142762174,10/03/2014,2524 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75285,-84.47033
14365,BURGLARY-RESIDENCE,142762202,10/03/2014,49 BOULEVARD SE,604,Sweet Auburn,M,33.75275,-84.37186
14366,LARCENY-FROM VEHICLE,142762240,10/03/2014,2700 SHADYVALLEY DR.,210,Pine Hills,B,33.82844,-84.3512
14367,BURGLARY-RESIDENCE,142762292,10/03/2014,1244 DEFOOR VILLAGE CT NW,204,Underwood Hills,D,33.81005,-84.42815
14368,LARCENY-FROM VEHICLE,142762326,10/03/2014,220 26TH ST NW,207,Brookwood,E,33.80312,-84.4011
14369,LARCENY-NON VEHICLE,142762343,10/03/2014,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
14370,BURGLARY-RESIDENCE,142762349,10/03/2014,2929 LANDRUM DR SW,409,Southwest,R,33.70796,-84.48444
14371,LARCENY-NON VEHICLE,142762351,10/03/2014,467 MORELAND AVE NE,608,Candler Park,N,33.76693,-84.34859
14372,LARCENY-NON VEHICLE,142762452,10/03/2014,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
14373,BURGLARY-RESIDENCE,142762467,10/03/2014,943 CONNALLY ST SE,304,Peoplestown,V,33.72877,-84.38153
14374,LARCENY-NON VEHICLE,142762528,10/03/2014,50 UPPER ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964
14375,LARCENY-NON VEHICLE,142762579,10/03/2014,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
14376,BURGLARY-RESIDENCE,142762663,10/03/2014,677 KENNESAW AVE,603,Old Fourth Ward,M,33.77309,-84.36955
14377,AGG ASSAULT,142762671,10/03/2014,1458 VAN VLECK AVE SE,612,East Atlanta,W,33.73657,-84.33965
14378,LARCENY-NON VEHICLE,142762804,10/03/2014,1975 CAMPBELLTON RD SW,408,Venetian Hills,S,33.70827,-84.45385
14379,LARCENY-FROM VEHICLE,142762830,10/03/2014,817 W PEACHTREE ST NE @BILTMORE HOTEL,505,Midtown,E,33.77696,-84.38697
14380,LARCENY-FROM VEHICLE,142762839,10/03/2014,1065 WASHITA AVE,602,Inman Park,N,33.76352,-84.353
14381,LARCENY-NON VEHICLE,142762846,10/03/2014,3495 BUCKHEAD LOOP NE,208,North Buckhead,B,33.85209,-84.3645
14382,LARCENY-NON VEHICLE,142762863,10/03/2014,2841 GREENBRIAR PKWY SW @Multiple,411,Greenbriar,R,33.68677,-84.49773
14383,ROBBERY-PEDESTRIAN,142760060,10/03/2014,427 BOULEVARD NE,603,Old Fourth Ward,M,33.76593,-84.37182
14384,LARCENY-FROM VEHICLE,142760104,10/03/2014,58 FAIRLIE ST NW,508,Downtown,M,33.75664,-84.39073
14385,AGG ASSAULT,142760109,10/03/2014,3260 MARTIN L KING JR DR SW,406,,I,33.75294,-84.49424
14386,AUTO THEFT,142760204,10/03/2014,1697 WADE AVE NE,609,Kirkwood,O,33.75522,-84.3319
14387,LARCENY-FROM VEHICLE,142760222,10/03/2014,239 PONCE DE LEON AVE NE @WHITE DOT,505,Midtown,E,33.7725,-84.37952
14388,LARCENY-FROM VEHICLE,142760242,10/03/2014,188 FORSYTH STREET SW,512,Downtown,M,33.74944,-84.39604
14389,ROBBERY-PEDESTRIAN,142760387,10/03/2014,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69981,-84.4184
14390,LARCENY-NON VEHICLE,142760417,10/03/2014,580 MCDONOUGH BLVD SE,305,Chosewood Park,Y,33.71392,-84.36899
14391,AUTO THEFT,142760438,10/03/2014,1124 MAYLAND CIR SW,302,Pittsburgh,V,33.72432,-84.40564
14392,LARCENY-FROM VEHICLE,142760581,10/03/2014,110 FORSYTH ST SW ,512,Downtown,M,33.75166,-84.39433
14393,ROBBERY-PEDESTRIAN,142760672,10/03/2014,1885 JONESBORO ROAD,307,Lakewood Heights,Y,33.70311,-84.37663
14394,AGG ASSAULT,142760732,10/03/2014,1572 HARDEE ST NE,609,Edgewood,O,33.75546,-84.33644
14395,LARCENY-FROM VEHICLE,142760862,10/03/2014,522 FEDERAL TER SE,305,Chosewood Park,Y,33.71528,-84.37085
14396,AUTO THEFT,142760895,10/03/2014,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079
14397,LARCENY-FROM VEHICLE,142760946,10/03/2014,3469 ROCKHAVEN CIR NE,210,Pine Hills,B,33.84635,-84.35222
14398,LARCENY-FROM VEHICLE,142760956,10/03/2014,1100 PEACHTREE ST NE,503,Midtown,E,33.78462,-84.38312
14399,LARCENY-NON VEHICLE,142761022,10/03/2014,1080 S. RIVER INDUSTRIAL BLVD SE,313,Blair Villa/Poole Creek,Z,33.65414,-84.37377
14400,LARCENY-FROM VEHICLE,142761032,10/03/2014,250 WILLIAMS ST NW,508,Downtown,M,33.76171,-84.39131
14401,AUTO THEFT,142761067,10/03/2014,3793 STEPHANIE DR SW ,414,Deerwood,P,33.67449,-84.51263
14402,LARCENY-NON VEHICLE,142761095,10/03/2014,1897 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70293,-84.40817
14403,LARCENY-FROM VEHICLE,142761116,10/03/2014,2900 PHARR COURT SOUTH,206,Underwood Hills,D,33.81264,-84.42882
14404,LARCENY-FROM VEHICLE,142761132,10/03/2014,277 MACKENZIE DR NE,603,Old Fourth Ward,M,33.762,-84.37025
14405,ROBBERY-PEDESTRIAN,142750033,10/02/2014,633 EVANS STREET,401,West End,T,33.7376,-84.41593
14406,AUTO THEFT,142750077,10/02/2014,287 10TH ST NE,503,Midtown,E,33.78154,-84.37779
14407,AUTO THEFT,142750154,10/02/2014,2900 LANDRUM DR SW,409,Southwest,R,33.70623,-84.48372
14408,AUTO THEFT,142750327,10/02/2014,241 FORSYTH ST SW @MAGIC CITY,512,Downtown,M,33.74827,-84.39732
14409,LARCENY-FROM VEHICLE,142750343,10/02/2014,677 ANTONE ST NW,207,Berkeley Park,D,33.79826,-84.4102
14410,LARCENY-FROM VEHICLE,142750359,10/02/2014,180 SPRING ST SW,512,Downtown,M,33.74958,-84.39736
14411,BURGLARY-RESIDENCE,142750624,10/02/2014,3774 CLUB DR NE,209,Brookhaven,B,33.85778,-84.34959
14412,AUTO THEFT,142750640,10/02/2014,3200 LENOX RD NE,210,Pine Hills,B,33.84293,-84.35825
14413,LARCENY-FROM VEHICLE,142750644,10/02/2014,880 GLENWOOD AVE SE,606,Grant Park,W,33.73991,-84.35917
14414,LARCENY-FROM VEHICLE,142750798,10/02/2014,224 PONCE DE LEON AVE NE,505,Midtown,E,33.77283,-84.37989
14415,LARCENY-FROM VEHICLE,142750805,10/02/2014,2657 LENOX RD NE,210,Pine Hills,B,33.82662,-84.35358
14416,LARCENY-FROM VEHICLE,142750935,10/02/2014,850 PIEDMONT AVE.,505,Midtown,E,33.77715,-84.38133
14417,LARCENY-FROM VEHICLE,142751085,10/02/2014,952 CHARLES ALLEN DR,503,Midtown,E,33.78065,-84.373
14418,LARCENY-NON VEHICLE,142751314,10/02/2014,1959 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7008,-84.41018
14419,AUTO THEFT,142751472,10/02/2014,759 PENN AVE NE,505,Midtown,E,33.7752,-84.37867
14420,LARCENY-FROM VEHICLE,142751505,10/02/2014,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568
14421,LARCENY-NON VEHICLE,142751526,10/02/2014,2020 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.81022,-84.41347
14422,BURGLARY-RESIDENCE,142751561,10/02/2014,2106 NOBLE CREEK DR NW,204,Cross Creek,C,33.81527,-84.4256
14423,BURGLARY-RESIDENCE,142751672,10/02/2014,307 GLENN ST SW,303,Mechanicsville,V,33.73832,-84.39766
14424,LARCENY-NON VEHICLE,142751713,10/02/2014,821 RALPH MCGILL BLVD NE,602,Poncey-Highland,N,33.76792,-84.35911
14425,ROBBERY-PEDESTRIAN,142751777,10/02/2014,2915 MACON DR SW,312,Glenrose Heights,Z,33.67512,-84.38911
14426,AUTO THEFT,142751789,10/02/2014,2431 HARVEL DR NW,108,Harvel Homes Community,J,33.75994,-84.46669
14427,BURGLARY-RESIDENCE,142751790,10/02/2014,1914 LAKEWOOD TER SE,307,Lakewood Heights,Y,33.70191,-84.38183
14428,LARCENY-FROM VEHICLE,142751861,10/02/2014,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65894,-84.50703
14429,LARCENY-NON VEHICLE,142751926,10/02/2014,950 W PEACHTREE ST NW,503,Midtown,E,33.7805,-84.38752
14430,LARCENY-NON VEHICLE,142751940,10/02/2014,2520 JONESBORO RD SE,308,Leila Valley,Z,33.68463,-84.36481
14431,LARCENY-FROM VEHICLE,142751969,10/02/2014,2809 PEACHTREE RD NE,206,Garden Hills,B,33.83157,-84.38498
14432,AGG ASSAULT,142751990,10/02/2014,477 WINDSOR ST SW,303,Mechanicsville,V,33.74172,-84.39836
14433,LARCENY-FROM VEHICLE,142752016,10/02/2014,I-285 EB EXPY SE / JONESBORO RD SE,313,South River Gardens,Z,33.65199,-84.36701
14434,LARCENY-NON VEHICLE,142752026,10/02/2014,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212
14435,LARCENY-FROM VEHICLE,142752047,10/02/2014,433 HIGHLAND AVE ,603,Old Fourth Ward,M,33.76101,-84.37345
14436,LARCENY-NON VEHICLE,142752055,10/02/2014,3353 PEACHTREE RD NE,208,Lenox,B,33.84774,-84.36713
14437,LARCENY-FROM VEHICLE,142752099,10/02/2014,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82115,-84.35224
14438,LARCENY-NON VEHICLE,142752135,10/02/2014,1660 PEACHTREE ST NW,502,Midtown,E,33.79761,-84.39242
14439,LARCENY-NON VEHICLE,142752166,10/02/2014,2429 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75246,-84.46669
14440,LARCENY-FROM VEHICLE,142752260,10/02/2014,2400 DEFOORS FERRY RD NW,204,Underwood Hills,D,33.82048,-84.4368
14441,ROBBERY-PEDESTRIAN,142752293,10/02/2014,2788 DEFOORS FERRY RD NW,201,,C,33.82114,-84.44713
14442,AGG ASSAULT,142752360,10/02/2014,3200 STONE RD,411,Greenbriar,R,33.66937,-84.49371
14443,LARCENY-NON VEHICLE,142752487,10/02/2014,875 YORK AVE SW,401,West End,T,33.73745,-84.41644
14444,BURGLARY-RESIDENCE,142752508,10/02/2014,1020 PIEDMONT AVE NE,503,Midtown,E,33.78253,-84.38061
14445,AGG ASSAULT,142752517,10/02/2014,1955 COMPTON DR SE @SOUTH BEND PARK,307,Lakewood Heights,Y,33.7009,-84.38279
14446,BURGLARY-RESIDENCE,142752553,10/02/2014,784 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77602,-84.3638
14447,LARCENY-NON VEHICLE,142752609,10/02/2014,2429 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75246,-84.46669
14448,BURGLARY-RESIDENCE,142752654,10/02/2014,425 GOLF VIEW RD NW,205,Collier Hills North,C,33.81137,-84.40058
14449,LARCENY-FROM VEHICLE,142752670,10/02/2014,226 COURTLAND ST NE,509,Downtown,M,33.76051,-84.38429
14450,BURGLARY-RESIDENCE,142752715,10/02/2014,3815 BENJAMIN CT SW,407,Fairburn Mays,H,33.73334,-84.51325
14451,BURGLARY-RESIDENCE,142752735,10/02/2014,1050 LENOX PARK BLVD NE,210,Pine Hills,B,33.85011,-84.34852
14452,LARCENY-NON VEHICLE,142752750,10/02/2014,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
14453,ROBBERY-PEDESTRIAN,142752757,10/02/2014,1811 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70485,-84.38085
14454,BURGLARY-RESIDENCE,142752779,10/02/2014,1685 RICHMOND AVE SE,307,Lakewood Heights,Y,33.70832,-84.37838
14455,AUTO THEFT,142752789,10/02/2014,3121 CAMPBELLTON RD SW,409,Southwest,R,33.69252,-84.49134
14456,LARCENY-NON VEHICLE,142752819,10/02/2014,1274 TRENTON ST SE,609,Edgewood,O,33.74685,-84.34607
14457,AUTO THEFT,142752826,10/02/2014,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742
14458,BURGLARY-RESIDENCE,142752843,10/02/2014,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805
14459,ROBBERY-PEDESTRIAN,142752865,10/02/2014,3011 HEADLAND DR SW,411,Greenbriar,R,33.68984,-84.48675
14460,AUTO THEFT,142752878,10/02/2014,2900 LANDRUM DR SW,409,Southwest,R,33.70623,-84.48372
14461,LARCENY-FROM VEHICLE,142752913,10/02/2014,2000 MONROE PL NE,212,Piedmont Heights,F,33.8103,-84.37025
14462,LARCENY-NON VEHICLE,142752935,10/02/2014,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
14463,LARCENY-FROM VEHICLE,142752940,10/02/2014,1160 MOORES MILL RD NW,201,Brandon,C,33.83134,-84.42412
14464,LARCENY-FROM VEHICLE,142752949,10/02/2014,95 MARTIN L KING JR DR SW,511,Downtown,M,33.75161,-84.39112
14465,AUTO THEFT,142752959,10/02/2014,2341 HILL ST NW,109,Almond Park,G,33.78011,-84.46439
14466,LARCENY-NON VEHICLE,142752974,10/02/2014,320 FAIRBURN RD SW,407,Fairburn Mays,H,33.7451,-84.50858
14467,AGG ASSAULT,142753009,10/02/2014,504 BECKWITH CT SW,101,Atlanta University Center,T,33.75197,-84.40458
14468,AUTO THEFT,142753034,10/02/2014,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68677,-84.49773
14469,LARCENY-FROM VEHICLE,142753075,10/02/2014,1063 EUCLID AVE NE,602,Inman Park,N,33.76279,-84.35205
14470,LARCENY-FROM VEHICLE,142753125,10/02/2014,2657 LENOX RD NE,210,Pine Hills,B,33.82662,-84.35358
14471,ROBBERY-PEDESTRIAN,142753137,10/02/2014,2788 DEFOORS FERRY RD NW @DEFOORS FERRY MANOR,201,,C,33.82098,-84.44692
14472,LARCENY-NON VEHICLE,142753148,10/02/2014,835 MARTIN LUTHER KING JR DR,102,Vine City,L,33.75504,-84.41457
14473,LARCENY-NON VEHICLE,142753156,10/02/2014,2429 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75246,-84.46669
14474,BURGLARY-RESIDENCE,142753174,10/02/2014,177 VANIRA AVE SE,304,Peoplestown,V,33.72908,-84.38213
14475,LARCENY-FROM VEHICLE,142753196,10/02/2014,655 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76094,-84.36599
14476,BURGLARY-NONRES,142753199,10/02/2014,880 GLENWOOD AVE SE,606,Grant Park,W,33.73991,-84.35917
14477,LARCENY-FROM VEHICLE,142753236,10/02/2014,1856 LANGSTON AVE SW,306,Sylvan Hills,X,33.70419,-84.41915
14478,LARCENY-FROM VEHICLE,142753248,10/02/2014,1122 AUSTIN AVE NE,602,Inman Park,N,33.76203,-84.35108
14479,LARCENY-FROM VEHICLE,142753375,10/02/2014,1253 CAROLINE ST NE,609,Edgewood,O,33.75831,-84.34704
14480,BURGLARY-RESIDENCE,142753435,10/02/2014,2400 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.82006,-84.36502
14481,AUTO THEFT,142753466,10/02/2014,382 EDGEWOOD AVE,604,Sweet Auburn,M,33.75448,-84.37506
14482,AGG ASSAULT,142791298,10/02/2014,3440 BOULDER PARK DR SW,406,Mays,H,33.74999,-84.50039
14483,BURGLARY-RESIDENCE,142743254,10/02/2014,259 ROSSER ST SW,104,Ashview Heights,T,33.74791,-84.42457
14484,ROBBERY-PEDESTRIAN,142743263,10/01/2014,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.70045,-84.45075
14485,LARCENY-NON VEHICLE,142748042,10/01/2014,9700 SPINE RD,703,,,33.64093,-84.43526
14486,AUTO THEFT,142742492,10/01/2014,269 E LAKE DR SE,611,East Lake,O,33.74551,-84.30295
14487,AGG ASSAULT,142742549,10/01/2014,62 PEACHTREE ST SW,511,Downtown,M,33.7527,-84.39126
14488,LARCENY-NON VEHICLE,142742593,10/01/2014,3547 PARC CIR SW,409,Southwest,R,33.6994,-84.49783
14489,BURGLARY-RESIDENCE,142742609,10/01/2014,173 VANIRA AVE SE,304,Peoplestown,V,33.72911,-84.38227
14490,LARCENY-FROM VEHICLE,142742645,10/01/2014,800 PEACHTREE ST NE,505,Midtown,E,33.77655,-84.38478
14491,AUTO THEFT,142742650,10/01/2014,88 WADDELL ST NE,602,Inman Park,N,33.75654,-84.36351
14492,AUTO THEFT,142742660,10/01/2014,650 PONCE DE LEON AVE NE @WHOLE FOODS - PONCE,506,Midtown,E,33.77469,-84.36561
14493,AGG ASSAULT,142742669,10/01/2014,2293 KENNEDY CT NW,109,Center Hill,J,33.77276,-84.46068
14494,AGG ASSAULT,142742704,10/01/2014,1870 CAMPBELLTON RD SW @QUALITY LIVING SERV,408,,R,33.7076,-84.44852
14495,LARCENY-NON VEHICLE,142742722,10/01/2014,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
14496,LARCENY-FROM VEHICLE,142742730,10/01/2014,466 WHITEHALL TER SW,303,Mechanicsville,V,33.74211,-84.40178
14497,ROBBERY-PEDESTRIAN,142742748,10/01/2014,2328 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70439,-84.4634
14498,LARCENY-NON VEHICLE,142742762,10/01/2014,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751
14499,BURGLARY-RESIDENCE,142742773,10/01/2014,979 HILL ST SE,304,Peoplestown,V,33.72775,-84.37877
14500,LARCENY-FROM VEHICLE,142742806,10/01/2014,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
14501,AUTO THEFT,142742815,10/01/2014,327 SISSON AVE NE,610,Kirkwood,O,33.76258,-84.31456
14502,AGG ASSAULT,142742867,10/01/2014,2909 CAMPBELLTON RD SW @CASCADE PINES APTS,409,Southwest,R,33.70025,-84.48473
14503,BURGLARY-RESIDENCE,142742872,10/01/2014,900 CONLEY RD SE,313,South River Gardens,Z,33.64985,-84.36127
14504,AUTO THEFT,142742888,10/01/2014,2900 LANDRUM DR SW,409,Southwest,R,33.70623,-84.48372
14505,BURGLARY-RESIDENCE,142742913,10/01/2014,910 CARDOVA DR NE,212,Lindridge/Martin Manor,F,33.81694,-84.35798
14506,LARCENY-NON VEHICLE,142742926,10/01/2014,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751
14507,ROBBERY-PEDESTRIAN,142742972,10/01/2014,227 PEACHTREE ST SW,512,Downtown,M,33.74835,-84.39519
14508,AGG ASSAULT,142743019,10/01/2014,265 HOLLY RD NW,105,Hunter Hills,K,33.7626,-84.43746
14509,BURGLARY-RESIDENCE,142743169,10/01/2014,2815 DEERWOOD LN SW,414,Ben Hill,P,33.67018,-84.51621
14510,LARCENY-FROM VEHICLE,142743197,10/01/2014,2 12TH ST NE,503,Midtown,E,33.78466,-84.38759
14511,BURGLARY-RESIDENCE,142743211,10/01/2014,2800 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75431,-84.4793
14512,LARCENY-FROM VEHICLE,142740218,10/01/2014,507 JOSEPH E. LOWERY,401,West End,T,33.74097,-84.41809
14513,AUTO THEFT,142740219,10/01/2014,680 W PEACHTREE ST NW,505,Midtown,E,33.77319,-84.38767
14514,ROBBERY-PEDESTRIAN,142740251,10/01/2014,565 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74651,-84.40675
14515,ROBBERY-PEDESTRIAN,142740329,10/01/2014,1568 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77151,-84.4397
14516,AUTO THEFT,142740395,10/01/2014,1189 PICKENS ST SE,612,East Atlanta,W,33.7357,-84.3486
14517,BURGLARY-RESIDENCE,142740492,10/01/2014,309 WELLINGTON ST SW,404,Westview,T,33.74678,-84.43904
14518,BURGLARY-NONRES,142740494,10/01/2014,2385 PEACHTREE RD NE,211,Peachtree Hills,B,33.82054,-84.38812
14519,LARCENY-FROM VEHICLE,142740590,10/01/2014,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409
14520,AUTO THEFT,142740614,10/01/2014,2524 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75285,-84.47033
14521,BURGLARY-RESIDENCE,142740621,10/01/2014,1797 MEADOWDALE AVE NE,213,Morningside/Lenox Park,F,33.80329,-84.3463
14522,AUTO THEFT,142740663,10/01/2014,3000 STONE HOGAN CONN SW,411,Greenbriar,R,33.67424,-84.49697
